Feature ID,State,State Abbreviation,State FIPS Code,County,Locale,POINT_X,POINT_Y,Distance to Nearest School (meters),NCES School ID of Nearest School,Name of Nearest School,Name of School District,LEAID of School District,Electric Utility,Census Tract ID,Total population,Percent people of color,Percent low-income households,PM2.5 (μg/m3),Ozone concentration (ppb),PM2.5 percentile,Ozone percentile
3885,Maryland,MD,24,Baltimore County,Suburban,-76.81908261,39.47398401,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005404404,6233,42%,19%,7.9,65.1,42,75
3886,Maryland,MD,24,Baltimore County,Suburban,-76.77906606,39.39308966,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005402603,5878,86%,23%,8,67,44,85
3887,Maryland,MD,24,Baltimore County,Suburban,-76.67786007,39.39249845,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005403803,3339,9%,5%,8.1,68.1,46,89
3888,Maryland,MD,24,Baltimore County,Suburban,-76.77562911,39.36216424,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005402306,4391,94%,35%,8,67.4,45,86
3889,Maryland,MD,24,Baltimore County,Suburban,-76.7624667,39.34227972,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005402303,6910,94%,24%,8.1,67.8,46,88
3890,Maryland,MD,24,Baltimore city,Urban,-76.67266871,39.33817521,,,,Baltimore City Public Schools,2400090,BALTIMORE GAS & ELECTRIC CO,24510151300,4449,96%,46%,8.2,69,49,91
3891,Maryland,MD,24,Baltimore city,Urban,-76.66072124,39.31362715,283,240009000229,Gwynns Falls Elementary,Baltimore City Public Schools,2400090,BALTIMORE GAS & ELECTRIC CO,24510150600,2890,99%,56%,8.2,69.3,49,92
3892,Maryland,MD,24,Baltimore County,Suburban,-76.57744946,39.40898202,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005490100,4033,15%,3%,8,68.6,44,90
3893,Maryland,MD,24,Baltimore County,Suburban,-76.42252871,39.36486127,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005451701,5349,43%,14%,7.9,72.3,42,96
3894,Maryland,MD,24,Baltimore County,Suburban,-76.57075084,39.39736188,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005491201,1913,36%,22%,8.1,69.1,46,91
3895,Maryland,MD,24,Baltimore County,Suburban,-76.45178497,39.35844976,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005451701,5349,43%,14%,7.9,72.3,42,96
3896,Maryland,MD,24,Baltimore County,Suburban,-76.46280945,39.3279397,261,240012000412,Kenwood High,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005492300,4084,26%,36%,8,72.8,44,96
3897,Maryland,MD,24,Baltimore County,Suburban,-76.51337465,39.32216368,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005441101,2274,50%,18%,8.1,71.8,47,96
3898,Maryland,MD,24,Baltimore County,Suburban,-76.44296538,39.31900447,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005450800,4399,59%,22%,7.9,73,43,96
3899,Maryland,MD,24,Harford County,Suburban,-76.36505006,39.42808131,,,,Harford County Public Schools,2400390,BALTIMORE GAS & ELECTRIC CO,24025301301,4615,33%,25%,7.7,70.5,37,94
3900,Maryland,MD,24,Baltimore city,Urban,-76.59594684,39.3180222,267,240009001663,The Reach! Partnership School,Baltimore City Public Schools,2400090,BALTIMORE GAS & ELECTRIC CO,24510090700,2910,99%,78%,8.2,70.4,50,94
3901,Maryland,MD,24,Baltimore city,Urban,-76.60123801,39.3138059,,,,Baltimore City Public Schools,2400090,BALTIMORE GAS & ELECTRIC CO,24510090800,2251,98%,49%,8.2,70.3,50,94
3902,Maryland,MD,24,Baltimore city,Urban,-76.58546586,39.31362117,192,240009001734,Lillie May Carroll Jackson School,Baltimore City Public Schools,2400090,BALTIMORE GAS & ELECTRIC CO,24510080200,698,100%,30%,8.2,70.8,50,95
3903,Maryland,MD,24,Baltimore city,Urban,-76.56911891,39.30369065,,,,Baltimore City Public Schools,2400090,BALTIMORE GAS & ELECTRIC CO,24510260404,1658,66%,86%,8.2,71.6,49,96
3904,Maryland,MD,24,Harford County,Suburban,-76.33911996,39.43291711,,,,Harford County Public Schools,2400390,BALTIMORE GAS & ELECTRIC CO,24025301301,4615,33%,25%,7.7,70.5,37,94
3905,Maryland,MD,24,Harford County,Suburban,-76.32660706,39.4221417,,,,Harford County Public Schools,2400390,BALTIMORE GAS & ELECTRIC CO,24025301601,5771,58%,33%,7.6,70.9,35,95
3906,Maryland,MD,24,Kent County,Rural,-76.09366279,39.28399597,226,240045000768,Kent County High,Kent County Public Schools,2400450,"CHOPTANK ELECTRIC COOPERATIVE, INC",24029950200,4372,17%,20%,7,68.1,20,89
3907,Maryland,MD,24,Queen Anne's County,Suburban,-75.92092151,39.2408887,,,,Queen Annes County Public Schools,2400540,"CHOPTANK ELECTRIC COOPERATIVE, INC",24035810100,2795,12%,13%,6.9,66,18,80
3908,Maryland,MD,24,Washington County,Urban,-77.63346084,39.6410215,,,,Washington County Public Schools,2400660,THE POTOMAC EDISON COMPANY,24043011202,4773,25%,33%,8,58.9,44,30
3909,Maryland,MD,24,Carroll County,Suburban,-77.02149509,39.68484363,,,,Carroll County Public Schools,2400210,BALTIMORE GAS & ELECTRIC CO,24013503000,5693,6%,17%,8.2,61,50,48
3910,Maryland,MD,24,Carroll County,Suburban,-77.21456769,39.67132325,,,,Carroll County Public Schools,2400210,THE POTOMAC EDISON COMPANY,24013501002,4918,11%,19%,8.2,60.5,48,44
